都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
232114,75,愛知県,豊田市,松平団地公園,ﾏﾂﾀﾞｲﾗﾀﾞﾝﾁｺｳｴﾝ,Matsudairadanchi park,豊田市巴町神田16番地,,,35.06334,137.21211,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,76,愛知県,豊田市,市木南公園,ｲﾁｷﾞﾐﾅﾐｺｳｴﾝ,Ichigiminami park,豊田市市木町10丁目19番地,,,35.09254,137.19541,1,1,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,77,愛知県,豊田市,幸穂台公園,ｻﾁﾎﾀﾞｲｺｳｴﾝ,sachihodai park,豊田市幸穂台3丁目7番地,,,35.08375,137.23012,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,78,愛知県,豊田市,三軒屋公園,ｻﾝｹﾞﾝﾔｺｳｴﾝ,Sangenya park,豊田市三軒町5丁目2番地4,,,35.08469,137.13656,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,79,愛知県,豊田市,若林西公園,ﾜｶﾊﾞﾔｼﾆｼｺｳｴﾝ,Wakabayashinishi park,豊田市若林西町門田52,,,35.03328,137.0985,3,2,1,0,2,1,1,0,0,0,1,有,無,無,,,,,,
232114,80,愛知県,豊田市,中根公園,ﾅｶﾈｺｳｴﾝ,Nakane park,豊田市中根町小訳64,,,35.01903,137.08974,3,2,0,1,2,1,1,0,0,0,1,有,無,無,,,,,,
232114,81,愛知県,豊田市,青木公園,ｱｵｷｺｳｴﾝ,Aoki park,豊田市青木町5丁目95番地1,,,35.11874,137.17759,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,82,愛知県,豊田市,田古屋公園,ﾀｺﾞﾔｺｳｴﾝ,Tagoya park,豊田市梅坪町6丁目8番地,,,35.10085,137.15905,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,83,愛知県,豊田市,花園公園,ﾊﾅｿﾞﾉｺｳｴﾝ,Hanazono park,豊田市花園町小松原95番地,,,35.01297,137.07605,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,85,愛知県,豊田市,吉原鶴喰公園,ﾖｼﾜﾗﾂﾙｸｲｺｳｴﾝ,Yoshiwaratsurukui park,豊田市吉原町鶴喰19番地1,,,35.02184,137.09297,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
